feature_a,feature_b,spearman_correlation,abs_spearman_correlation
atr_pct_14h,dist_high_24h,-0.49552464821886877,0.49552464821886877
oi_chg_1h,eth_ret_1h,0.49497864409616815,0.49497864409616815
vol_ratio_6_96,volume,0.4949157135286692,0.4949157135286692
ret_1h,ret_3h,0.4940624203862128,0.4940624203862128
bb_bw_20h,dist_low_24h,0.49346990688967657,0.49346990688967657
vol_6h,volume_z_168h,0.49140557825671954,0.49140557825671954
ret_24h,taker_buy_ratio_24h,0.48891653958937065,0.48891653958937065
ret_48h,ret_168h,0.4857786720019147,0.4857786720019147
vol_24h,dist_high_24h,-0.48454812293050614,0.48454812293050614
rsi_14h,dist_high_96h,0.47740374782114864,0.47740374782114864
bb_pctb_20h,dist_high_96h,0.473179028036012,0.473179028036012
bb_bw_20h,volume,0.4727313648233658,0.4727313648233658
ret_24h,dist_low_168h,0.4680590344115574,0.4680590344115574
atr_pct_14h,dist_low_24h,0.46707601817937955,0.46707601817937955
ret_48h,rsi_14h,0.4660725834795018,0.4660725834795018
dist_low_96h,eth_ret_24h,0.4654633640005325,0.4654633640005325
dist_high_168h,dist_low_168h,0.46375064164435614,0.46375064164435614
ret_48h,oi_chg_24h,0.45886492807906504,0.45886492807906504
dist_high_96h,eth_ret_168h,0.45882912786426516,0.45882912786426516
vol_96h,bb_bw_20h,0.45717597684230854,0.45717597684230854
ret_12h,dist_high_96h,0.45591956074140844,0.45591956074140844
ret_48h,dist_high_24h,0.45566216395730735,0.45566216395730735
rsi_14h,oi_chg_24h,0.45542268342512954,0.45542268342512954
bb_bw_20h,dist_high_24h,-0.45514793399987313,0.45514793399987313
vol_96h,dist_low_96h,0.4540041148952309,0.4540041148952309
dist_high_96h,oi_chg_24h,0.4525986079845168,0.4525986079845168
dist_high_24h,oi_chg_24h,0.44915450483951885,0.44915450483951885
vol_168h,dist_low_168h,0.4484546023432335,0.4484546023432335
rsi_14h,dist_low_96h,0.4445887096761003,0.4445887096761003
dist_high_168h,eth_ret_24h,0.444422650266118,0.444422650266118
ret_12h,ret_48h,0.4415386407969986,0.4415386407969986
ret_12h,dist_low_96h,0.43973204845911396,0.43973204845911396
dist_high_96h,dist_low_96h,0.4397139619342415,0.4397139619342415
ret_48h,bb_pctb_20h,0.43899025731399505,0.43899025731399505
ret_24h,ret_96h,0.4375342777673116,0.4375342777673116
ret_48h,taker_buy_ratio_24h,0.4361031192615811,0.4361031192615811
bb_pctb_20h,dist_low_96h,0.43239907179694426,0.43239907179694426
dist_high_96h,dist_low_168h,0.4315521414368533,0.4315521414368533
dist_low_24h,eth_ret_24h,0.4299204220425501,0.4299204220425501
ret_3h,ret_12h,0.42924121053713804,0.42924121053713804
vol_6h,vol_96h,0.4272312256775539,0.4272312256775539
vol_ratio_6_96,atr_pct_14h,0.42651199754133273,0.42651199754133273
