feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
amihud_illiquidity_z,float64,271797,0,0.0,271791,True,0,False,0.007905454653891881,1.0161070945369748,-1.5262605835990497,-1.233391739194775,-0.2471854435974422,3.4209655649357664,10.731998921631792,0.00038030763715442544
atr_pct_rank_288,float64,271797,0,0.0,543,True,0,False,0.48447238485602206,0.3156272977058467,0.0034722222222222,0.0034722222222222,0.4826388888888889,1.0,1.0,-0.005637448308599766
bb_width,float64,271797,0,0.0,271744,True,0,False,0.008137871002957913,0.0071196136476149845,0.0,0.00136126403163236,0.0061313858621148,0.03652234461913938,0.1362164539623941,-0.1378997526753877
bb_width_pct_rank_288,float64,271797,0,0.0,522,True,0,False,0.49574498941368156,0.3025059272834059,0.0034722222222222,0.0034722222222222,0.4930555555555556,1.0,1.0,-0.0018565999950983358
bb_width_z,float64,271797,0,0.0,271797,True,0,False,0.047306825951560764,1.262926318414926,-3.396069168470088,-1.8055848886474697,-0.3033189025311658,4.044311249627389,8.029481297479759,-0.0024514376649828425
big_trade_ratio,float64,271797,0,0.0,271792,True,0,False,0.0015419597502140622,1.0212688790284299,-3.2165129062025515,-1.7875416682653793,-0.1401645672871756,2.9975325797345884,14.639902885046393,-0.003094533990125413
btc_eth_volume_rank_spread,float64,271797,0,0.0,1289,True,0,False,0.00046170471747154583,0.2077041827230842,-0.9513888888888888,-0.5173611111111112,-0.0034722222222222,0.5590277777777777,0.96875,0.0063926829382340575
btc_lead_eth_follow_gap_3,float64,271797,0,0.0,271794,True,0,False,-4.9883764075799054e-05,0.033231429748804046,-0.5905138275931197,-0.09095087238810966,-0.0004471418492411,0.09792036883884915,0.5269283362513301,0.00559751969967066
btc_ret_1,float64,271797,0,0.0,270982,True,0,False,9.70197323424335e-05,0.09741415334426523,-0.998601954630223,-0.28105024587655336,0.0002670997179974,0.2819190602531538,0.995559794635718,0.0033856748397833886
btc_ret_12,float64,271797,0,0.0,271505,True,0,False,0.00046068466960833834,0.13126233783572738,-0.9979661590837604,-0.3923411377219131,0.0018697142030907,0.37990546675503967,0.98097874621293,0.013874894640747976
btc_ret_3,float64,271797,0,0.0,271299,True,0,False,0.0001958764452959902,0.11596537743428133,-0.999130102494416,-0.3378581354840906,0.0004215749792398,0.33604755416984855,0.997782799298422,0.007004766546822478
btc_volume_impulse_z,float64,271797,0,0.0,271773,True,0,False,-0.0016215277882917461,0.20992967470142043,-0.7515955776857125,-0.40114740601701465,-0.0237009559425276,0.571845944500566,1.0,0.0010849164235795278
chop_index,float64,271797,0,0.0,271617,True,0,False,48.60198784403896,9.342823961777281,0.0,26.185439773620963,48.89729272399095,68.44773650606611,80.01411899921241,-0.04635760413664087
close,float64,271797,0,0.0,209519,True,0,False,81210.25883103936,20607.26437815318,38587.9,41986.984,77448.6,120300.1,125986.0,1.0
