feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
atr_pct_14,float64,160497,0,0.0,160496,True,0,False,0.001740681827554999,0.0012040562456102778,9.488259568483191e-05,0.0003284439134923898,0.00143613631486936,0.00606369931097734,0.029447818246584906,-0.25819815724166606
atr_pct_96,float64,160497,0,0.0,160497,True,0,False,0.001741187995840678,0.0009780015458487553,0.00023238772609070064,0.00039991708352661744,0.0015414346919900052,0.005245107578051686,0.010399242473677038,-0.29763651372374234
close,float64,160497,0,0.0,135510,True,0,False,91879.01712056923,17292.47907054338,58137.2,60242.896,92041.5,121938.33600000001,125986.0,0.9999999999999999
evt_agreement,int64,160497,0,0.0,4,True,0,False,0.08731004317837716,0.35132055853523214,0.0,0.0,0.0,2.0,3.0,-0.010109454060159789
evt_gate_fired,int64,160497,0,0.0,2,True,0,False,0.01180084362947594,0.10798881293499153,0.0,0.0,0.0,1.0,1.0,0.010294176190197417
evt_raw_score,float64,160497,0,0.0,160496,True,0,False,1.2933978978679441,1.3067716820313768,-0.2969247343167678,-0.04729632162609488,0.9499895742673922,4.956314279112229,5.135745051686055,-0.14265668953397423
flow_mean_15m,float64,160497,0,0.0,160497,True,0,False,-0.0035377867165902223,0.10733513499802314,-0.49098754197864986,-0.25805536992448763,-0.003954933899018365,0.2533804419103446,0.993160070033082,-0.046747528251445535
flow_mean_5m,float64,160497,0,0.0,160495,True,0,False,-0.0035390516031404665,0.1745700653850557,-0.7403526005546623,-0.4082124285242661,-0.003410629998885595,0.402680864270659,0.993160070033082,-0.028371676888147353
gmm_cluster_rank,int64,160497,0,0.0,6,True,0,False,1.4940154644635102,1.5246867322640838,0.0,0.0,1.0,5.0,5.0,-0.05735048026169257
gmm_confidence,float64,160497,0,0.0,153883,True,0,False,0.824277735582036,0.16402491498479896,0.32891673,0.4216532448,0.885314,0.9991156068,1.0,0.034894689493575416
high,float64,160497,0,0.0,127755,True,0,False,91956.50933849231,17294.709503735623,58274.8,60297.996,92136.4,122005.52,126208.5,0.9999795469251291
if_score,float64,160497,0,0.0,160495,True,0,False,-0.07694618022026221,0.06045403010979255,-0.1512013456666623,-0.14312236813739296,-0.1011317394593634,0.08499230545414029,0.3037070943650176,0.4405353122740815
low,float64,160497,0,0.0,128063,True,0,False,91801.18349626471,17289.27445351688,57758.6,60192.191999999995,91948.5,121852.408,125829.9,0.9999791985316808
open,float64,160497,0,0.0,135151,True,0,False,91879.21050486925,17292.33926219967,58137.3,60242.988,92041.8,121938.33600000001,125986.1,0.9999639115732035
volume,float64,160497,0,0.0,146751,True,0,False,587.988829018611,880.3736817508167,0.0,45.73624,328.216,4190.227560000014,39820.621,-0.10232340553639932
