feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
atr_pct_14h,float64,22471,0,0.0,22471,True,0,False,0.00701968162793322,0.003521076500931337,0.0012607854474292928,0.0018529960024137049,0.006434649959370375,0.018920781257811048,0.038224162771369766,-0.24151590899642655
bb_bw_20h,float64,22471,0,0.0,22470,True,0,False,0.03036106944874262,0.021903704645703827,0.002160963820830843,0.0046975710696654975,0.024445903222081372,0.1122977082065548,0.22736843759484826,-0.14277843367613363
bb_pctb_20h,float64,22471,0,0.0,22471,True,0,False,0.5102049527094485,0.327946278566211,-0.5001272191903442,-0.22230972986032035,0.5231296685269579,1.2082241280900652,1.4979376257537937,0.026116923726190806
btc_eth_ret_spread_24h,float64,22471,0,0.0,22471,True,0,False,0.000577634366114405,0.020809942075089953,-0.18783117791066317,-0.06185280471964702,0.0017494479906190463,0.051987098270241616,0.16325022455937432,-0.031036618402675284
close,float64,22471,0,0.0,21855,True,0,False,81496.81452983846,20426.62715796295,38768.6,41967.86,77730.6,120311.24999999999,125986.0,0.9999999999999999
dist_high_168h,float64,22471,0,0.0,22402,True,0,False,-0.04441532712307541,0.03570102715034245,-0.2895363936016895,-0.15848969493706827,-0.03561679389312977,-0.0018717649166146496,0.0,0.16006608956371485
dist_high_24h,float64,22471,0,0.0,22454,True,0,False,-0.01737012654662803,0.015453190226339715,-0.18453382161943488,-0.07180739339891566,-0.012619372832512243,-0.000658533496828286,0.0,0.14498972416026856
dist_high_96h,float64,22471,0,0.0,22433,True,0,False,-0.03415179707482498,0.027755864905840047,-0.24158415841584158,-0.12951076632002356,-0.02721770438382387,-0.0014638884537375098,0.0,0.145840636060613
dist_low_168h,float64,22471,0,0.0,22416,True,0,False,0.05937182083793963,0.045461489206967506,0.0,0.0030379499015348982,0.04704488731004952,0.21906750142661205,0.320390724372982,-0.0897780658210828
dist_low_24h,float64,22471,0,0.0,22450,True,0,False,0.020096888307389666,0.01807783999238686,0.0,0.0008137743482151684,0.014735812975386064,0.08799644188844057,0.19266053511705694,-0.1088976721727789
dist_low_96h,float64,22471,0,0.0,22437,True,0,False,0.04339126330627203,0.03426671312691081,0.0,0.0021404009196488217,0.034404315375426986,0.16034261399923244,0.2743802160039275,-0.10696939138244815
dow_cos,float64,22471,0,0.0,7,True,0,False,-0.0004219073992813984,0.7072903669714314,-0.9009688679024191,-0.9009688679024191,-0.22252093395631434,1.0,1.0,0.002985092815413651
dow_sin,float64,22471,0,0.0,7,True,0,False,0.0012228577826804295,0.706921964153238,-0.9749279121818236,-0.9749279121818236,0.0,0.9749279121818236,0.9749279121818236,0.0004044088388322731
eth_ret_168h,float64,22471,0,0.0,22471,True,0,False,-0.0013597872988609279,0.09356092677895642,-0.4355388426209901,-0.2536531934066287,0.001060314873593704,0.2566215417468769,0.4157239844208753,0.09105262984729377
eth_ret_1h,float64,22471,0,0.0,22464,True,0,False,-8.511405021328176e-06,0.007120946193361761,-0.12304339221291549,-0.02104106916630073,6.551255386622046e-05,0.019854388333204496,0.09112429997401872,0.01282570552310447
