feature_a,feature_b,spearman_correlation,abs_spearman_correlation
high,close,0.9999795469251292,0.9999795469251292
low,close,0.9999791985316808,0.9999791985316808
open,high,0.9999775494638083,0.9999775494638083
open,low,0.9999757922135818,0.9999757922135818
open,close,0.9999639115732035,0.9999639115732035
high,low,0.9999579517317252,0.9999579517317252
gmm_cluster_rank,evt_raw_score,0.9524693362388276,0.9524693362388276
atr_pct_14,atr_pct_96,0.8067356439567603,0.8067356439567603
volume,atr_pct_14,0.6935814761483441,0.6935814761483441
atr_pct_14,gmm_cluster_rank,0.5867945904126466,0.5867945904126466
flow_mean_5m,flow_mean_15m,0.5825617695708374,0.5825617695708374
atr_pct_14,evt_raw_score,0.5720260108686825,0.5720260108686825
volume,gmm_cluster_rank,0.49603249643888875,0.49603249643888875
volume,atr_pct_96,0.48819230995591056,0.48819230995591056
volume,evt_raw_score,0.4489606097928948,0.4489606097928948
high,if_score,0.44119248363151986,0.44119248363151986
open,if_score,0.44055415706524315,0.44055415706524315
close,if_score,0.44053531227408144,0.44053531227408144
low,if_score,0.43986087290464243,0.43986087290464243
evt_agreement,evt_gate_fired,0.42697101801752246,0.42697101801752246
gmm_cluster_rank,evt_agreement,0.35628871195433076,0.35628871195433076
evt_raw_score,evt_agreement,0.3442480889856092,0.3442480889856092
low,atr_pct_96,-0.2994581069935376,0.2994581069935376
close,atr_pct_96,-0.2976365137237424,0.2976365137237424
open,atr_pct_96,-0.2976297418969264,0.2976297418969264
high,atr_pct_96,-0.29582942577067584,0.29582942577067584
low,atr_pct_14,-0.2606368076893549,0.2606368076893549
close,atr_pct_14,-0.2581981572416661,0.2581981572416661
open,atr_pct_14,-0.25818398792147934,0.25818398792147934
high,atr_pct_14,-0.25577755706039396,0.25577755706039396
atr_pct_14,evt_agreement,0.2534420475016121,0.2534420475016121
atr_pct_96,evt_raw_score,0.24885811817084802,0.24885811817084802
atr_pct_96,gmm_cluster_rank,0.24335679280817943,0.24335679280817943
atr_pct_96,gmm_confidence,-0.22117467471150895,0.22117467471150895
atr_pct_14,gmm_confidence,-0.22043545271027754,0.22043545271027754
volume,evt_agreement,0.2185360614170646,0.2185360614170646
volume,if_score,0.19494076774164473,0.19494076774164473
evt_raw_score,evt_gate_fired,0.18393926249863676,0.18393926249863676
gmm_cluster_rank,evt_gate_fired,0.1837558207421626,0.1837558207421626
low,evt_raw_score,-0.14428716285499762,0.14428716285499762
open,evt_raw_score,-0.1426672215394864,0.1426672215394864
close,evt_raw_score,-0.14265668953397423,0.14265668953397423
high,evt_raw_score,-0.1410593762462708,0.1410593762462708
volume,gmm_confidence,-0.13047117744878542,0.13047117744878542
atr_pct_14,evt_gate_fired,0.12356089713495326,0.12356089713495326
if_score,evt_raw_score,-0.1132237695980285,0.1132237695980285
gmm_confidence,evt_gate_fired,0.10664239665765224,0.10664239665765224
low,volume,-0.10508006475511983,0.10508006475511983
close,volume,-0.10232340553639929,0.10232340553639929
open,volume,-0.10227760100433794,0.10227760100433794
volume,evt_gate_fired,0.10201673513731083,0.10201673513731083
high,volume,-0.09955292370071749,0.09955292370071749
gmm_confidence,evt_raw_score,0.08986083091709147,0.08986083091709147
atr_pct_96,if_score,-0.08765677293696626,0.08765677293696626
gmm_confidence,evt_agreement,0.07521812827069302,0.07521812827069302
gmm_cluster_rank,if_score,0.06465803136471361,0.06465803136471361
low,gmm_cluster_rank,-0.059082517144271866,0.059082517144271866
open,gmm_cluster_rank,-0.057355458445971244,0.057355458445971244
close,gmm_cluster_rank,-0.05735048026169258,0.05735048026169258
high,gmm_cluster_rank,-0.055647111027503124,0.055647111027503124
gmm_cluster_rank,gmm_confidence,-0.05555332187529362,0.05555332187529362
atr_pct_96,evt_agreement,0.05332045074420506,0.05332045074420506
open,flow_mean_15m,-0.04859563755249233,0.04859563755249233
high,flow_mean_15m,-0.04754731911913429,0.04754731911913429
low,flow_mean_15m,-0.04751451256681565,0.04751451256681565
close,flow_mean_15m,-0.04674752825144554,0.04674752825144554
if_score,flow_mean_15m,-0.043633150354557525,0.043633150354557525
low,gmm_confidence,0.03506819919250022,0.03506819919250022
close,gmm_confidence,0.034894689493575416,0.034894689493575416
open,gmm_confidence,0.034887022151650904,0.034887022151650904
high,gmm_confidence,0.03470850720763611,0.03470850720763611
if_score,evt_agreement,0.03377301446710827,0.03377301446710827
open,flow_mean_5m,-0.03182970038427931,0.03182970038427931
low,flow_mean_5m,-0.029943988176469087,0.029943988176469087
high,flow_mean_5m,-0.029919366848808457,0.029919366848808457
close,flow_mean_5m,-0.028371676888147353,0.028371676888147353
atr_pct_14,if_score,-0.028352835878831906,0.028352835878831906
evt_raw_score,flow_mean_15m,0.026010151337193744,0.026010151337193744
atr_pct_14,flow_mean_15m,0.02318495057462205,0.02318495057462205
atr_pct_96,flow_mean_15m,0.018596394321567147,0.018596394321567147
gmm_cluster_rank,flow_mean_15m,0.017815111688876163,0.017815111688876163
if_score,flow_mean_5m,-0.017684592304526067,0.017684592304526067
evt_raw_score,flow_mean_5m,0.015049295311318328,0.015049295311318328
atr_pct_14,flow_mean_5m,0.014024867923684408,0.014024867923684408
if_score,evt_gate_fired,0.012126821505165251,0.012126821505165251
atr_pct_96,flow_mean_5m,0.011206894303062745,0.011206894303062745
gmm_cluster_rank,flow_mean_5m,0.0110090259864784,0.0110090259864784
low,evt_agreement,-0.010857796399423535,0.010857796399423535
high,evt_gate_fired,0.010562222031480476,0.010562222031480476
close,evt_gate_fired,0.010294176190197417,0.010294176190197417
open,evt_gate_fired,0.01028081275191356,0.01028081275191356
close,evt_agreement,-0.010109454060159787,0.010109454060159787
open,evt_agreement,-0.010059755808155324,0.010059755808155324
low,evt_gate_fired,0.010009705314018878,0.010009705314018878
high,evt_agreement,-0.009323971430244276,0.009323971430244276
gmm_confidence,if_score,0.007502300339073093,0.007502300339073093
atr_pct_96,evt_gate_fired,-0.005511163645173497,0.005511163645173497
evt_gate_fired,flow_mean_15m,0.003242379090609539,0.003242379090609539
volume,flow_mean_15m,0.0025267432832668324,0.0025267432832668324
gmm_confidence,flow_mean_15m,-0.0022824131555555156,0.0022824131555555156
volume,flow_mean_5m,0.0020364675939973493,0.0020364675939973493
evt_agreement,flow_mean_5m,-0.0018400107490370136,0.0018400107490370136
gmm_confidence,flow_mean_5m,-0.0013622942039228736,0.0013622942039228736
evt_agreement,flow_mean_15m,-0.0012378318977076112,0.0012378318977076112
evt_gate_fired,flow_mean_5m,0.0008610544855255389,0.0008610544855255389
