feature,dtype,rows,missing_count,missing_ratio,unique_count,is_numeric,infinite_count,is_constant,mean,std,min,q01,q50,q99,max,spearman_to_target
amihud_illiquidity_z,float64,224781,0,0.0,224771,True,0,False,0.006702139287939807,1.0151714086607784,-1.5080205036314798,-1.263550278865552,-0.235079564870829,3.370431158838178,10.409614318062603,0.0015518934702963747
anchored_vwap_session_dist,float64,224781,0,0.0,224684,True,0,False,0.0002093996095118429,0.014800244600928908,-0.1,-0.038161379111464215,-2.776150932846463e-05,0.0449878363005693,0.1,0.052275705614921335
atr_pct_rank_288,float64,224781,0,0.0,537,True,0,False,0.48507687664968413,0.3141378867095881,0.0034722222222222,0.0034722222222222,0.4826388888888889,1.0,1.0,-0.004230239037400293
bb_width,float64,224781,0,0.0,223887,True,0,False,0.014142620009540918,0.011470509567060371,0.0,0.00286996911389886,0.0110702854080554,0.05699193343891716,0.3233179056368043,0.16205989141884858
bb_width_pct_rank_288,float64,224781,0,0.0,535,True,0,False,0.4974946558775462,0.29989657858262375,0.0034722222222222,0.0034722222222222,0.4965277777777778,1.0,1.0,0.0009890746999464508
bb_width_z,float64,224781,0,0.0,224781,True,0,False,0.05208720719295451,1.2377919908755057,-3.661888201165665,-1.7948582479940312,-0.2821154422469523,3.9098954871570126,9.11030098865425,0.0021892476708286574
big_trade_ratio,float64,224781,0,0.0,224776,True,0,False,-0.000999331552123839,1.0203529426070692,-3.596852253420181,-1.8447208154884407,-0.121062035199487,3.0005665987426355,10.923327342604852,0.005751001180570663
breakout_strength,float64,224781,0,0.0,196482,True,0,False,0.009034129333742641,0.2814427973044764,-0.4999999998146775,-0.4781181610188875,0.0108225107756626,0.4825678260968047,0.499999999742002,0.06663683107874901
btc_breakout_eth_lag_dir,float64,224781,0,0.0,3,True,0,False,0.004711252285557943,0.3118212072734523,-1.0,-1.0,0.0,1.0,1.0,0.008379424935964533
btc_corr_60,float64,224781,0,0.0,224722,True,0,False,0.760167679836413,0.1133450703561393,-0.1584407158775966,0.3942362978830414,0.7806835973775469,0.9361142759558528,0.9918078422260777,-0.3986612796991461
btc_eth_volume_rank_spread,float64,224781,0,0.0,1342,True,0,False,-0.0006258080232054329,0.23474266602002716,-0.9791666666666669,-0.6354166666666666,0.0069444444444444,0.5625,0.920138888888889,-0.004102433847584555
btc_impulse_x_eth_beta,float64,224781,0,0.0,224640,True,0,False,5.7297532144783564e-05,0.07275786895348302,-0.9846058696835962,-0.20949083021549278,-4.710572037240636e-05,0.21186687380606078,0.9827946646809776,0.010063856370822695
btc_lead_eth_follow_gap_3,float64,224781,0,0.0,224777,True,0,False,0.00011759247872832072,0.04609895358430666,-0.5428081326923518,-0.13089888429545582,0.0004787082308658,0.12255654488375856,0.5670110620198479,-0.0008105543745027227
btc_ret_1,float64,224781,0,0.0,224322,True,0,False,4.1553200193664956e-05,0.07103193039137456,-0.9991432010624004,-0.2028967388310198,0.0,0.2045915364530348,0.9846838135117176,0.005828920307517007
btc_ret_12,float64,224781,0,0.0,224677,True,0,False,0.00023934323222026953,0.09517727999670364,-0.9790502938912964,-0.2881985032492867,0.0006254070845822,0.2805508736728481,0.9547650513134438,0.019531078207536405
