feature,entries,win_rate,expected_edge,p_value,significant
hour_cos,105372,14.083437725391946,0.04759799621257449,0.0008952866384372095,True
oi_change_rate,105351,13.586012472591621,0.018196833640779838,0.0034755913475073875,True
smart_money_flow,105351,13.586012472591621,0.018196833640779838,0.0034755913475073875,True
breakout_strength,105224,14.849273929901925,0.028212143520599656,0.021632191523740723,True
session_us,28541,11.779545215654673,0.06474194094938757,0.025289466493002843,True
cvp_volume_imbalance,105365,15.127414226735633,0.02745224962725986,0.02736188534953582,True
cvp_poc_dist,105365,14.761068666065583,0.030903481688522805,0.0356840128114899,True
fvg_dist,105254,13.977616052596575,0.02527418177377054,0.04411604586117489,True
amihud_illiquidity_z,105367,13.5545284576765,0.019925279131806355,0.0524769408602096,False
volatility_z,105372,14.091978893823786,0.04835172005455744,0.05736763786676205,False
funding_price_divergence,105238,14.096619091962978,0.022801560299597245,0.05912505646135896,False
hma_slope,105349,13.834018358029027,0.018063024152365152,0.060680870064970194,False
long_squeeze_risk,87670,12.92004106307745,0.024935653305130707,0.07336102334473599,False
session_europe,35100,13.256410256410255,0.04205016770417023,0.17214981674007968,False
bb_width_z,105372,13.445697149147781,0.016714182768732253,0.2070100181224943,False
regime_trending,63113,13.72617368846355,0.027552484310383728,0.25904879793362184,False
short_squeeze_risk,75669,13.531300796891726,0.026114479020588915,0.2732771750342492,False
btc_corr_60,105312,13.198875721665148,0.02685600059867989,0.2760203324139621,False
cvp_cluster_position,99819,13.078672397038641,0.025255775187344266,0.28355370936861873,False
count_toptrader_long_short_ratio,105319,13.167614580465065,0.025852694770179766,0.29374030595274353,False
hurst_change,105349,13.485652450426677,0.020882607213525875,0.2950507237069218,False
trade_intensity,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
count_long_short_ratio,105354,13.17463029405623,0.025908742570511782,0.29606401251108294,False
sum_taker_long_short_vol_ratio,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
taker_buy_base,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
taker_buy_quote,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
sum_open_interest,105358,13.174130108771998,0.025845344081465844,0.29606401251108294,False
close_btc,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
close_time,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
open,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
low,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
high,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
rogers_satchell_vol,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
realized_vol_ratio,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
minute_cos,105372,13.428614812284097,0.017746250909936593,0.29606401251108294,False
minute_sin,96591,13.468128500584942,0.019295978608523796,0.29606401251108294,False
chop_index,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
parkinson_vol,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
bb_width,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
garman_klass_vol,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
volume_btc,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
quote_volume_btc,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
rsi,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
whale_retail_ratio,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
sum_toptrader_long_short_ratio,105359,13.17590334000892,0.025913379774580327,0.29606401251108294,False
quote_volume,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
trades,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
volume,105369,13.174652886522601,0.025827840984565847,0.29606401251108294,False
funding_abs,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
fibonacci_level,105363,13.17160673101563,0.02576176324022916,0.29606401251108294,False
hurst_12,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
sum_open_interest_value,105358,13.174130108771998,0.025845344081465844,0.29606401251108294,False
hurst_48,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
hurst_288,105372,13.174277796758153,0.025798635089992774,0.29606401251108294,False
eth_btc_ratio_change,105367,13.595338198866818,0.01879004230419852,0.3109814412610899,False
cvp_regime,105365,13.168509467090589,0.025700695455822316,0.3112706731432851,False
wick_ratio,105037,13.19249407351695,0.025738880836126417,0.3213935153369791,False
vwap_dist,105372,14.599703906161029,0.005138492732286607,0.33109623793298215,False
dual_momentum,88258,14.206077636021664,0.01465925344880857,0.3314915169481372,False
whale_conviction,105337,13.428330026486421,0.017761801575209048,0.3359590433856505,False
cvp_vah_val_width,101101,13.26989841841327,0.024661620084566245,0.3403664199826094,False
macd_hist,105372,13.446646167862431,0.015405776926967553,0.4130433611487289,False
funding_pressure,105372,13.59659112477698,0.016986303623905713,0.5201019654110657,False
squeeze_power,105358,13.706600353081875,0.018370786160263313,0.5202424938168871,False
last_funding_rate,105325,13.681462140992167,0.017963168305407173,0.527008415305875,False
taker_acceleration,105370,13.326373730663377,0.012636430087814786,0.6604200584835279,False
volume_profile_signal,105082,12.173350335928133,0.030743005701049576,0.7634392362890544,False
