feature,entries,win_rate,expected_edge,p_value,significant
oi_change_rate,42150,17.494661921708186,0.021034425213132524,0.005281840201256579,True
smart_money_flow,42150,17.494661921708186,0.021034425213132524,0.005281840201256579,True
breakout_strength,42150,17.214709371293,0.02524444784496553,0.017418283320375982,True
cvp_volume_imbalance,42150,17.686832740213525,0.01634773865419161,0.01835142106295529,True
bb_width_z,42150,14.17081850533808,0.03321656593426931,0.021945800761375915,True
rsi,42150,17.027283511269275,0.04128741694752168,0.03283135890326513,True
hurst_change,42150,13.857651245551603,0.027768723400829823,0.047660675266197335,True
hour_cos,35123,17.037269025994362,0.0744584419346213,0.04942199447157343,True
fvg_dist,42150,18.1423487544484,0.03351078418060478,0.05083809636308742,False
realized_vol_ratio,42150,14.979833926453143,0.05152449391199828,0.06716023914084689,False
close_time,42150,14.230130486358245,0.03981501251926044,0.08279654554562209,False
long_squeeze_risk,42150,14.348754448398576,0.01381460776802159,0.13020385777458449,False
fibonacci_level,42150,17.634638196915777,0.011797139851183315,0.14730782349072016,False
hour_sin,35136,12.494307832422587,0.0171730804232968,0.15248072778621574,False
amihud_illiquidity_z,42150,13.10320284697509,0.01563764337536252,0.18486792720251724,False
whale_conviction,42144,16.64293849658314,0.01884610970693565,0.19317057352856962,False
parkinson_vol,42150,14.899169632265718,0.035189210661662675,0.20996783243830733,False
cvp_poc_dist,42150,16.123368920521948,0.028086223010854658,0.22329326829978058,False
eth_btc_ratio_change,42150,17.051008303677342,0.015213358554144726,0.2338725471883836,False
sum_taker_long_short_vol_ratio,42150,11.705812574139976,0.01719455174641523,0.2569466530632935,False
garman_klass_vol,42150,14.941874258600238,0.03384660482138478,0.25767580879350344,False
squeeze_power,42150,14.149466192170818,0.024943965608819875,0.27655938497628985,False
whale_retail_ratio,42150,16.8564650059312,0.033298328302153936,0.2838259428845086,False
chop_index,42150,14.037959667852906,0.025385043747352492,0.2885621908802617,False
vwap_dist,42150,18.71174377224199,0.008304264747843118,0.3026807568929682,False
turtle_signal,42150,17.126927639383155,0.022824727813972597,0.30441252929382306,False
hurst_48,42150,13.584816132858837,0.01980648730635065,0.31864044407768904,False
volatility_z,42150,15.055753262158955,0.05192327959995852,0.32357919774877675,False
hurst_12,42150,13.924080664294186,0.03594204795074579,0.3998615237887478,False
sum_open_interest,42150,15.131672597864767,0.020132611282404563,0.41922948400675064,False
hma_slope,42150,17.954922894424673,0.014677352320308494,0.42559238493070833,False
rogers_satchell_vol,42150,15.06049822064057,0.03477871176532641,0.4777879807611853,False
trade_intensity,42150,12.536180308422301,-0.00583404488803568,0.5091509945971908,False
btc_corr_60,42150,13.122182680901542,0.027178744127498614,0.5262167883009005,False
close_btc,42148,13.839328081996774,0.02598379805317674,0.5586103952469677,False
funding_price_divergence,42150,15.805456702253856,0.02760533090249106,0.5782023952007955,False
macd_hist,42150,17.176749703440095,0.014979322145787972,0.694079894052851,False
cvp_vah_val_width,42137,13.102498991385245,0.008738874476215894,0.723116669312649,False
funding_roc_288,42110,14.317264307765376,0.018233475249831595,0.7762065646117159,False
funding_abs,42097,14.628120768700859,0.028575238029034198,0.7772969673211173,False
taker_acceleration,42150,11.539739027283511,0.008120847936776573,0.9385530197055185,False
volume_profile_signal,42150,15.72479240806643,0.01363097101902683,0.949790910382483,False
last_funding_rate,21281,17.127954513415723,0.00336856925309954,0.9589462961948182,False
quote_volume,42150,13.499406880189799,0.01670211118924611,1.0,False
taker_buy_base,42150,14.09252669039146,0.024321234715873587,1.0,False
trades,42147,13.75186846038864,0.016053557162000905,1.0,False
big_trade_ratio,42150,13.945432977461447,0.013546014762524714,1.0,False
high,42150,12.512455516014235,0.002322859255230857,1.0,False
volume,42150,14.23250296559905,0.02790342028244078,1.0,False
net_taker_ratio,42150,11.599051008303677,0.014339924775514103,1.0,False
quote_volume_btc,42150,13.648873072360617,0.010942985155269718,1.0,False
funding_pressure,42150,13.919335705812575,0.0011658788945289786,1.0,False
volume_btc,42150,13.855278766310795,0.011989094696632592,1.0,False
open,42149,12.491399558708393,0.0021004625653247783,1.0,False
low,42150,12.469750889679714,0.0016335231100351349,1.0,False
wick_ratio,42150,13.13167259786477,0.019382056988359746,1.0,False
bb_width,42150,14.102016607354686,0.023944269392818608,1.0,False
cvp_regime,42140,13.68058851447556,0.020561968889311208,1.0,False
regime_break,5269,20.95274245587398,0.07043739546523864,1.0,False
taker_buy_quote,42150,13.532621589561092,0.016522272245189477,1.0,False
count_toptrader_long_short_ratio,42128,14.080896315989367,-0.009022497485866508,1.0,False
sum_open_interest_value,42150,12.405693950177936,0.005064229297904999,1.0,False
count_long_short_ratio,42142,13.99791182193536,-0.005161234137091155,1.0,False
sum_toptrader_long_short_ratio,42144,13.342350037965073,0.01235105680546069,1.0,False
funding_z_score,42150,13.736654804270461,-0.008291965284291587,1.0,False
funding_roc_48,42075,15.253713606654784,0.003785042938082414,1.0,False
funding_roc_12,18468,14.809400043318172,0.02424575538241441,1.0,False
mean_reversion_z,42150,12.465005931198101,0.01387114841848474,1.0,False
cvp_cluster_position,42150,14.398576512455517,0.01119432967685494,1.0,False
short_squeeze_risk,21075,15.966785290628707,0.0370274905598717,1.0,False
hurst_288,42150,12.358244365361804,-0.016320445080332386,1.0,False
ofi_acceleration,42150,11.684460260972717,0.010967352477159345,1.0,False
minute_sin,35124,13.554834301332422,0.019377974278780165,,False
minute_cos,35124,13.429563830998747,0.017250926747403878,,False
is_hour_open,8781,13.244505181642182,0.0269712116085903,,False
