feature,entries,win_rate,expected_edge
hour_cos,35123,17.037269025994362,0.0744584419346213
regime_break,5269,20.95274245587398,0.07043739546523864
volatility_z,42150,15.055753262158955,0.05192327959995852
realized_vol_ratio,42150,14.979833926453143,0.05152449391199828
rsi,42150,17.027283511269275,0.04128741694752168
close_time,42150,14.230130486358245,0.03981501251926044
short_squeeze_risk,21075,15.966785290628707,0.0370274905598717
hurst_12,42150,13.924080664294186,0.03594204795074579
parkinson_vol,42150,14.899169632265718,0.035189210661662675
rogers_satchell_vol,42150,15.06049822064057,0.03477871176532641
garman_klass_vol,42150,14.941874258600238,0.03384660482138478
fvg_dist,42150,18.1423487544484,0.03351078418060478
whale_retail_ratio,42150,16.8564650059312,0.033298328302153936
bb_width_z,42150,14.17081850533808,0.03321656593426931
funding_abs,42097,14.628120768700859,0.028575238029034198
cvp_poc_dist,42150,16.123368920521948,0.028086223010854658
volume,42150,14.23250296559905,0.02790342028244078
hurst_change,42150,13.857651245551603,0.027768723400829823
funding_price_divergence,42150,15.805456702253856,0.02760533090249106
btc_corr_60,42150,13.122182680901542,0.027178744127498614
is_hour_open,8781,13.244505181642182,0.0269712116085903
close_btc,42148,13.839328081996774,0.02598379805317674
chop_index,42150,14.037959667852906,0.025385043747352492
breakout_strength,42150,17.214709371293,0.02524444784496553
squeeze_power,42150,14.149466192170818,0.024943965608819875
taker_buy_base,42150,14.09252669039146,0.024321234715873587
funding_roc_12,18468,14.809400043318172,0.02424575538241441
bb_width,42150,14.102016607354686,0.023944269392818608
turtle_signal,42150,17.126927639383155,0.022824727813972597
smart_money_flow,42150,17.494661921708186,0.021034425213132524
oi_change_rate,42150,17.494661921708186,0.021034425213132524
cvp_regime,42140,13.68058851447556,0.020561968889311208
sum_open_interest,42150,15.131672597864767,0.020132611282404563
hurst_48,42150,13.584816132858837,0.01980648730635065
wick_ratio,42150,13.13167259786477,0.019382056988359746
minute_sin,35124,13.554834301332422,0.019377974278780165
whale_conviction,42144,16.64293849658314,0.01884610970693565
funding_roc_288,42110,14.317264307765376,0.018233475249831595
minute_cos,35124,13.429563830998747,0.017250926747403878
sum_taker_long_short_vol_ratio,42150,11.705812574139976,0.01719455174641523
hour_sin,35136,12.494307832422587,0.0171730804232968
quote_volume,42150,13.499406880189799,0.01670211118924611
taker_buy_quote,42150,13.532621589561092,0.016522272245189477
cvp_volume_imbalance,42150,17.686832740213525,0.01634773865419161
trades,42147,13.75186846038864,0.016053557162000905
amihud_illiquidity_z,42150,13.10320284697509,0.01563764337536252
eth_btc_ratio_change,42150,17.051008303677342,0.015213358554144726
macd_hist,42150,17.176749703440095,0.014979322145787972
hma_slope,42150,17.954922894424673,0.014677352320308494
net_taker_ratio,42150,11.599051008303677,0.014339924775514103
mean_reversion_z,42150,12.465005931198101,0.01387114841848474
long_squeeze_risk,42150,14.348754448398576,0.01381460776802159
volume_profile_signal,42150,15.72479240806643,0.01363097101902683
big_trade_ratio,42150,13.945432977461447,0.013546014762524714
sum_toptrader_long_short_ratio,42144,13.342350037965073,0.01235105680546069
volume_btc,42150,13.855278766310795,0.011989094696632592
fibonacci_level,42150,17.634638196915777,0.011797139851183315
cvp_cluster_position,42150,14.398576512455517,0.01119432967685494
ofi_acceleration,42150,11.684460260972717,0.010967352477159345
quote_volume_btc,42150,13.648873072360617,0.010942985155269718
cvp_vah_val_width,42137,13.102498991385245,0.008738874476215894
vwap_dist,42150,18.71174377224199,0.008304264747843118
taker_acceleration,42150,11.539739027283511,0.008120847936776573
sum_open_interest_value,42150,12.405693950177936,0.005064229297904999
funding_roc_48,42075,15.253713606654784,0.003785042938082414
last_funding_rate,21281,17.127954513415723,0.00336856925309954
high,42150,12.512455516014235,0.002322859255230857
open,42149,12.491399558708393,0.0021004625653247783
low,42150,12.469750889679714,0.0016335231100351349
funding_pressure,42150,13.919335705812575,0.0011658788945289786
count_long_short_ratio,42142,13.99791182193536,-0.005161234137091155
trade_intensity,42150,12.536180308422301,-0.00583404488803568
funding_z_score,42150,13.736654804270461,-0.008291965284291587
count_toptrader_long_short_ratio,42128,14.080896315989367,-0.009022497485866508
hurst_288,42150,12.358244365361804,-0.016320445080332386
