iter	Passed	Remaining
0	14	4964
1	28	4886
2	34	4004
3	42	3706
4	49	3445
5	57	3294
6	65	3201
7	71	3037
8	79	3003
9	88	3016
10	107	3300
11	120	3405
12	136	3531
13	149	3584
14	160	3582
15	172	3600
16	181	3549
17	192	3545
18	203	3540
19	215	3553
20	225	3539
21	238	3550
22	249	3553
23	262	3564
24	274	3565
25	285	3557
26	296	3545
27	302	3483
28	310	3435
29	316	3372
30	323	3330
31	329	3273
32	338	3247
33	343	3194
34	349	3148
35	356	3112
36	363	3072
37	371	3046
38	379	3022
39	386	2992
40	394	2971
41	402	2953
42	409	2921
43	417	2905
44	427	2895
45	434	2870
46	440	2838
47	448	2819
48	453	2787
49	463	2780
50	469	2752
51	476	2731
52	482	2701
53	489	2683
54	496	2661
55	502	2640
56	511	2627
57	517	2604
58	524	2586
59	530	2562
60	537	2545
61	543	2526
62	552	2517
63	558	2494
64	564	2473
65	570	2456
66	576	2433
67	582	2416
68	591	2408
69	599	2396
70	604	2375
71	610	2358
72	617	2343
73	623	2324
74	631	2315
75	638	2301
76	645	2288
77	650	2269
78	658	2258
79	664	2241
80	670	2227
81	678	2219
82	687	2211
83	693	2197
84	703	2192
85	710	2181
86	719	2174
87	725	2159
88	730	2141
89	736	2129
90	742	2113
91	749	2101
92	760	2100
93	769	2095
94	775	2080
95	781	2068
96	787	2054
97	795	2046
98	803	2037
99	810	2026
100	816	2012
101	824	2004
102	835	2003
103	850	2010
104	862	2012
105	873	2010
106	879	1997
107	890	1994
108	896	1982
109	903	1972
110	909	1958
111	919	1952
112	925	1942
113	934	1934
114	941	1924
115	948	1913
116	955	1902
117	961	1891
118	970	1883
119	978	1875
120	985	1865
121	992	1855
122	1001	1848
123	1013	1847
124	1025	1845
125	1035	1841
126	1045	1836
127	1062	1843
128	1077	1845
129	1087	1840
130	1092	1827
131	1100	1817
132	1108	1807
133	1114	1797
134	1120	1784
135	1128	1776
136	1134	1763
137	1140	1751
138	1148	1743
139	1154	1731
140	1160	1720
141	1166	1709
142	1172	1697
143	1178	1686
144	1188	1679
145	1194	1669
146	1200	1657
147	1206	1646
148	1213	1636
149	1219	1626
150	1229	1620
151	1238	1613
152	1244	1601
153	1252	1593
154	1258	1583
155	1265	1573
156	1273	1565
157	1282	1558
158	1289	1549
159	1296	1539
160	1302	1529
161	1311	1522
162	1319	1513
163	1326	1504
164	1332	1493
165	1337	1482
166	1344	1473
167	1350	1462
168	1359	1456
169	1366	1446
170	1373	1437
171	1381	1429
172	1392	1424
173	1401	1417
174	1414	1414
175	1421	1405
176	1430	1397
177	1437	1388
178	1448	1383
179	1453	1372
180	1458	1362
181	1466	1353
182	1472	1343
183	1480	1335
184	1487	1326
185	1494	1317
186	1500	1308
187	1506	1298
188	1512	1288
189	1517	1277
190	1523	1268
191	1531	1260
192	1538	1251
193	1543	1241
194	1549	1231
195	1555	1222
196	1560	1212
197	1571	1206
198	1579	1198
199	1586	1189
200	1591	1179
201	1598	1171
202	1604	1161
203	1613	1154
204	1621	1146
205	1629	1139
206	1635	1130
207	1641	1120
208	1648	1112
209	1656	1104
210	1664	1096
211	1669	1086
212	1677	1078
213	1684	1070
214	1693	1063
215	1700	1055
216	1707	1046
217	1713	1037
218	1720	1029
219	1725	1019
220	1731	1010
221	1741	1003
222	1747	995
223	1754	986
224	1759	977
225	1766	969
226	1773	961
227	1785	955
228	1791	946
229	1798	938
230	1806	930
231	1813	922
232	1819	913
233	1828	906
234	1835	898
235	1844	891
236	1851	883
237	1864	877
238	1875	871
239	1884	863
240	1891	855
241	1896	846
242	1904	838
243	1912	830
244	1919	822
245	1924	813
246	1930	804
247	1937	796
248	1942	787
249	1950	780
250	1958	772
251	1977	768
252	1987	761
253	1998	755
254	2009	748
255	2017	740
256	2026	733
257	2041	727
258	2052	721
259	2064	714
260	2075	707
261	2083	699
262	2092	692
263	2097	683
264	2105	675
265	2110	666
266	2117	658
267	2125	650
268	2134	642
269	2139	633
270	2148	626
271	2153	617
272	2161	609
273	2173	602
274	2180	594
275	2188	586
276	2195	578
277	2200	570
278	2210	562
279	2216	554
280	2222	545
281	2228	537
282	2234	529
283	2242	521
284	2250	513
285	2257	505
286	2262	496
287	2270	488
288	2275	480
289	2283	472
290	2289	464
291	2297	456
292	2305	448
293	2314	440
294	2321	432
295	2328	424
296	2336	416
297	2344	409
298	2350	400
299	2357	392
300	2363	384
301	2374	377
302	2381	369
303	2389	361
304	2395	353
305	2401	345
306	2408	337
307	2416	329
308	2424	321
309	2429	313
310	2435	305
311	2441	297
312	2448	289
313	2459	281
314	2468	274
315	2475	266
316	2482	258
317	2487	250
318	2494	242
319	2501	234
320	2509	226
321	2515	218
322	2521	210
323	2528	202
324	2535	195
325	2544	187
326	2550	179
327	2557	171
328	2563	163
329	2571	155
330	2576	147
331	2583	140
332	2592	132
333	2600	124
334	2606	116
335	2611	108
336	2618	100
337	2625	93
338	2633	85
339	2639	77
340	2644	69
341	2651	62
342	2657	54
343	2666	46
344	2673	38
345	2679	30
346	2685	23
347	2690	15
348	2697	7
349	2703	0
