iter	RMSE
0	0.9677331679
1	0.958659043
2	0.9504382667
3	0.9427362779
4	0.9358677159
5	0.9296762688
6	0.9238003501
7	0.9183497474
8	0.9133207266
9	0.9087360747
10	0.9046018245
11	0.9006887912
12	0.8970445006
13	0.8937701985
14	0.8908823491
15	0.8881267578
16	0.8855891213
17	0.8832641379
18	0.8811095391
19	0.8790753745
20	0.877253138
21	0.8755123879
22	0.8739514709
23	0.8724443346
24	0.8710010204
25	0.8697412028
26	0.8685741566
27	0.867427069
28	0.8664365507
29	0.8655170773
30	0.8646146805
31	0.8638165006
32	0.8631357624
33	0.8624532236
34	0.861695214
35	0.8609922801
36	0.8603917664
37	0.8598377353
38	0.859260309
39	0.858699254
40	0.8582021739
41	0.8578102934
42	0.8573758469
43	0.8569367664
44	0.8565036837
45	0.8561513819
46	0.8557604639
47	0.8554362283
48	0.8550098712
49	0.8547299762
50	0.8544286203
51	0.8541424711
52	0.853836803
53	0.8535463236
54	0.8532430619
55	0.8529707988
56	0.8526895994
57	0.8524890098
58	0.8521524258
59	0.8519596958
60	0.851799027
61	0.8515610925
62	0.8512887664
63	0.8511056045
64	0.850922474
65	0.8507651836
66	0.8505614055
67	0.8504242431
68	0.8502477145
69	0.8500748779
70	0.8498844392
71	0.8496474973
72	0.8494175104
73	0.8492273517
74	0.8490506438
75	0.8489264497
76	0.8487716602
77	0.8486178962
78	0.848443351
79	0.8483445646
80	0.8481745054
81	0.8480814483
82	0.8479082951
83	0.8477124529
84	0.8475124196
85	0.8473823878
86	0.8471814147
87	0.8470674981
88	0.846926035
89	0.846799366
90	0.8466754731
91	0.8465566515
92	0.8464212095
93	0.84630337
94	0.8461746696
95	0.8460991827
96	0.8459975845
97	0.8458233383
98	0.8456962929
99	0.8455831351
100	0.845465823
101	0.8453572083
102	0.8451918502
103	0.8450590745
104	0.8449768129
105	0.8448504421
106	0.8447385338
107	0.8446277187
108	0.8445186314
109	0.8444014033
110	0.8443307031
111	0.8442400315
112	0.8441265492
113	0.8440346474
114	0.8439501545
115	0.8438683635
116	0.8437921814
117	0.8436841755
118	0.843509232
119	0.8434388389
120	0.8433581425
121	0.8432038408
122	0.8431060598
123	0.8429768842
124	0.8428258466
125	0.8426785934
126	0.8425915639
127	0.8425140829
128	0.8423930268
129	0.8423071291
130	0.8422202128
131	0.8421455022
132	0.8420682991
133	0.8420306368
134	0.8418854329
135	0.8417317697
136	0.8416620187
137	0.841559322
138	0.8414996577
139	0.8414284509
140	0.841390515
141	0.8412659048
142	0.841181256
143	0.841095624
144	0.8410411701
145	0.8409295704
146	0.8408371104
147	0.8407486697
148	0.8406230318
149	0.8405878226
150	0.8405211505
151	0.840403494
152	0.8402913459
153	0.8402342417
154	0.8400972255
155	0.8400246282
156	0.8399660374
157	0.8398874623
158	0.8397676688
159	0.8396899237
160	0.8396144342
161	0.8395452642
162	0.8394235639
163	0.8393334714
164	0.8392492707
165	0.839156503
166	0.8390765367
167	0.8389688555
168	0.8388727171
169	0.8387627511
170	0.8387150909
171	0.8386402225
172	0.83856109
173	0.8385222236
174	0.838478891
175	0.8384237782
176	0.8383447943
177	0.8382854972
178	0.8381986733
179	0.8381271133
180	0.8380600497
181	0.8379481121
182	0.8378584855
183	0.8377475923
184	0.8376741139
185	0.8376091528
186	0.8375215556
187	0.8374482123
188	0.8373862623
189	0.8373364814
190	0.837254242
191	0.8371713105
192	0.8370249566
193	0.8369152085
194	0.8368480666
195	0.8367839399
196	0.8366404147
197	0.8365650808
198	0.8364814815
199	0.8364092169
200	0.8363457263
201	0.8362449898
202	0.8361686008
203	0.8360900432
204	0.8360037188
205	0.8359399309
206	0.8359043617
207	0.835844923
208	0.8357332921
209	0.8356388145
210	0.8355685643
211	0.8354873381
212	0.8353796606
213	0.8352927985
214	0.8352113044
215	0.8351604109
216	0.8350681514
217	0.8349648633
218	0.8349096352
219	0.8347848062
220	0.8347374379
221	0.8346565932
222	0.8346062382
223	0.8345277768
224	0.8343960457
225	0.8343288279
226	0.8342716095
227	0.8342335402
228	0.8341558982
229	0.8340560997
230	0.8340031107
231	0.8338855347
232	0.8338498499
233	0.8337952332
234	0.8337161325
235	0.8336495006
236	0.8335742316
237	0.8335190499
238	0.8334654932
239	0.8333700764
240	0.8332764671
241	0.8332349586
242	0.8331786097
243	0.8331074731
244	0.8330458276
245	0.8329767321
246	0.8329194945
247	0.8328702843
248	0.83276708
249	0.8326558706
250	0.8325330152
251	0.832418172
252	0.8323322222
253	0.8321863916
254	0.8321213649
255	0.8320732202
256	0.8319784153
257	0.8319086263
258	0.8318159425
259	0.8317359697
260	0.8316671557
261	0.8316223652
262	0.831496002
263	0.8314293774
264	0.8313287256
265	0.8312501622
266	0.8311780869
267	0.8310643949
268	0.8309629895
269	0.8309293356
270	0.8307996798
271	0.8307400292
272	0.8306520424
273	0.8306076181
274	0.830540606
275	0.8304140757
276	0.8303477067
277	0.8302714132
278	0.8301733546
279	0.830089599
280	0.8300304831
281	0.829951345
282	0.8298774185
283	0.8297952542
284	0.8297247773
285	0.8296863664
286	0.8295985825
