iter	RMSE
287	0.8295336167
288	0.8294489098
289	0.8293815579
290	0.8293100133
291	0.8292675323
292	0.8291550294
293	0.8290546295
294	0.8289405351
295	0.8288629039
296	0.8288013893
297	0.8287369685
298	0.8286778012
299	0.828600279
300	0.8284757293
301	0.8284319571
302	0.8283598142
303	0.8282380567
304	0.8281852788
305	0.8281247455
306	0.828024814
307	0.8279298059
308	0.8278745431
309	0.8277832778
310	0.8277326027
311	0.8276368513
312	0.8275241521
313	0.827423202
314	0.8273523052
315	0.8272659503
316	0.8272118855
317	0.8271382486
318	0.827055246
319	0.8270096358
320	0.8269173637
321	0.8268053925
322	0.8267142596
323	0.8266529328
324	0.826585872
325	0.8265212374
326	0.826437466
327	0.8263839776
328	0.8262961649
329	0.8262106111
330	0.8261498116
331	0.8260432816
332	0.8260068032
333	0.8259419143
334	0.8258836562
335	0.8258048747
336	0.8257448733
337	0.8256460638
338	0.8255914195
339	0.8255077189
340	0.8254424424
341	0.8254095084
342	0.8253281454
343	0.8252499731
344	0.8251802958
345	0.8251355425
346	0.8250454844
347	0.8250051511
348	0.8249125708
349	0.8248070579
