,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing,missing_pct
close,3780.0,3253.6979470899473,84.89942837570003,3025.95,3061.0264,3097.6479999999997,3195.4775,3265.0,3316.6275,3386.0710000000004,3404.2172,3427.86,0,0.0
pred_tft,3780.0,0.14153439153439154,0.871360665876541,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0,0.0
pred_macro,3780.0,0.737037037037037,0.6532461768441321,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0
pred_chronos,3780.0,0.8063492063492064,0.4211426193829222,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0
pred_kronos,3780.0,-0.2743386243386243,0.9294384010518327,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0,0.0
pred_timesfm,3780.0,-0.08227513227513228,0.97811625796442,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0,0.0
pred_moirai,3780.0,-0.16031746031746033,0.8949666105151184,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0,0.0
conf_tft,3780.0,0.025302359162184297,0.01134345919248542,0.0031890869140625,0.0074615478515625,0.011230087280273434,0.017425537109375,0.02288818359375,0.0304718017578125,0.04715118408203124,0.062345581054687516,0.1011962890625,0,0.0
conf_macro,3780.0,0.550882652323082,0.030369005577375336,0.50244140625,0.5047802734375,0.50830078125,0.525390625,0.5498046875,0.57275390625,0.59326171875,0.6500048828125,0.66552734375,0,0.0
conf_chronos,3780.0,0.7564147200533953,0.12457979759676094,0.5,0.5,0.5,0.6820758879184723,0.7734375,0.8785468935966492,0.8785486876964569,0.8785654902458191,0.8785718083381653,0,0.0
conf_kronos,3780.0,0.22253448706278775,0.05607450769372024,0.0308070533675403,0.09448932163536189,0.12905453843583192,0.1849362887485043,0.22221381121109707,0.26124845217818427,0.3136802300363545,0.35191033137231387,0.419200695409455,0,0.0
conf_timesfm,3780.0,0.319791322808082,0.13402244103041883,0.0179731789976358,0.07110789269208909,0.11131182760000223,0.20852530002593989,0.318671777844429,0.426369309425354,0.5353207200765607,0.6003452175855637,0.7027943730354309,0,0.0
conf_moirai,3780.0,0.14838818542111373,0.0437305781615904,0.0298133243447413,0.058029563989136404,0.08146048967154021,0.11761088773101744,0.14615923927443797,0.17580974803897667,0.22389655795908583,0.25733863721291717,0.3622574019697687,0,0.0
sig_whale,3780.0,-0.8028208937710368,0.29524171264458604,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6296332329103947,-0.1605485558374989,0.17208593295197616,0.5781973525126449,0,0.0
sig_liq_squeeze,3780.0,-0.006667715724742406,0.037865653938715355,-0.1666666666666666,-0.1550710997431127,-0.07895801446463399,0.0,0.0,0.0,0.0,0.0,0.6951666666666667,0,0.0
sig_net_taker,3780.0,-0.021135132228153275,0.690743707801021,-1.0,-1.0,-1.0,-0.6500451626098929,-0.017696170788176452,0.575190289168934,1.0,1.0,1.0,0,0.0
sig_orderblock,3780.0,0.007061853479049927,0.394729490337988,-1.0,-1.0,-0.8323537937800634,0.0,0.0,0.0,0.8350217470603588,1.0,1.0,0,0.0
sig_hurst_ofi,3780.0,-0.004517306025773852,0.7141564980157606,-1.0,-1.0,-1.0,-0.7482135619094057,0.0,0.7717543268236504,1.0,1.0,1.0,0,0.0
sig_cvp_fvg,3780.0,0.018542347353928335,0.42244957475082867,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0
sig_amihud_gk,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
sig_funding_cascade,3780.0,0.0015873015873015873,0.0398145881107574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
sig_multifractal,3780.0,0.0031746031746031746,0.05626155407349637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0
sig_cluster_fib,3780.0,-0.012546193990444742,0.37434266490161977,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0
sig_composite_squeeze,3780.0,-0.005555555555555556,0.5146396970869667,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0
log_return,3780.0,-1.7933810305154504e-05,0.002424790005993209,-0.0315821459839724,-0.006988790680043838,-0.003440293752837755,-0.00109314844236655,2.285839130902534e-05,0.0011063849759794001,0.003331430715915937,0.006521148234813146,0.0162139937348192,0,0.0
return_30m,3774.0,-4.755809305945961e-05,0.005293742527360877,-0.02949788104545059,-0.013299836914624856,-0.008054130002703164,-0.002828197850523878,-0.00010779573224761752,0.00255512604420971,0.007982154655276451,0.015237367029584193,0.03733125617540267,6,0.15873015873015872
